p,"No encoding","MR","Hamming"
0.5000000000,0.5000000000,0.5007120000,0.5005630000
0.4500000000,0.4500000000,0.4656450000,0.4616570000
0.4050000000,0.4050000000,0.4314000000,0.4263590000
0.3645000000,0.3645000000,0.3999610000,0.3887510000
0.3280500000,0.3280500000,0.3697860000,0.3519670000
0.2952450000,0.2952450000,0.3374430000,0.3164210000
0.2657205000,0.2657205000,0.3067330000,0.2810040000
0.2391484500,0.2391484500,0.2747510000,0.2477390000
0.2152336050,0.2152336050,0.2455210000,0.2157210000
0.1937102445,0.1937102445,0.2163760000,0.1879660000
0.1743392201,0.1743392201,0.1882760000,0.1612920000
0.1569052980,0.1569052980,0.1630920000,0.1383190000
0.1412147682,0.1412147682,0.1398050000,0.1173430000
0.1270932914,0.1270932914,0.1201270000,0.0995240000
0.1143839623,0.1143839623,0.1007600000,0.0841700000
0.1029455660,0.1029455660,0.0845860000,0.0703250000
0.0926510094,0.0926510094,0.0708840000,0.0585800000
0.0833859085,0.0833859085,0.0586800000,0.0492700000
0.0750473176,0.0750473176,0.0493450000,0.0406990000
0.0675425859,0.0675425859,0.0410200000,0.0340870000
0.0607883273,0.0607883273,0.0334820000,0.0280700000
0.0547094946,0.0547094946,0.0275040000,0.0231190000
0.0492385451,0.0492385451,0.0225740000,0.0191060000
0.0443146906,0.0443146906,0.0183320000,0.0155450000
0.0398832215,0.0398832215,0.0148170000,0.0126000000
0.0358948994,0.0358948994,0.0123220000,0.0107200000
0.0323054094,0.0323054094,0.0097980000,0.0088570000
0.0290748685,0.0290748685,0.0078080000,0.0068190000
0.0261673817,0.0261673817,0.0067400000,0.0056780000
0.0235506435,0.0235506435,0.0054330000,0.0047470000
0.0211955791,0.0211955791,0.0043050000,0.0038770000
0.0190760212,0.0190760212,0.0034680000,0.0031780000
0.0171684191,0.0171684191,0.0029620000,0.0025800000
0.0154515772,0.0154515772,0.0022620000,0.0020530000
0.0139064195,0.0139064195,0.0019060000,0.0015840000
0.0125157775,0.0125157775,0.0014680000,0.0013530000
0.0112641998,0.0112641998,0.0012450000,0.0010610000
0.0101377798,0.0101377798,0.0009790000,0.0009260000
0.0091240018,0.0091240018,0.0007300000,0.0006950000
0.0082116016,0.0082116016,0.0006200000,0.0005860000
0.0073904415,0.0073904415,0.0005000000,0.0004440000
